frame	time	x	y	burst
259407	33	498	139	0
259408	74	498	139	0
259409	121	498	141	0
259410	163	498	142	0
259411	204	497	142	0
259412	246	498	143	0
259413	287	498	146	0
259414	328	498	147	0
259415	375	499	148	0
259416	416	499	151	0
259417	506	496	154	0
259418	558	495	155	0
259419	599	494	156	0
259420	642	493	157	0
259421	682	490	160	0
259422	724	488	162	0
259423	767	487	163	0
259424	808	485	166	0
259425	937	479	172	0
259426	992	477	174	0
259427	1034	476	175	0
259428	1076	474	177	0
259429	1117	471	180	0
259430	1158	470	182	0
259431	1232	466	186	0
259432	1272	464	187	0
259433	1314	463	188	0
259434	1355	462	190	0
259435	1404	460	191	0
259436	1451	460	192	0
259437	1492	457	194	0
259438	1543	455	196	0
259439	1584	453	197	0
259440	1627	452	197	0
259441	1673	452	198	0
259442	1715	450	199	0
259443	1763	451	199	0
259444	1804	450	200	0
259445	1847	450	202	0
259446	1888	451	202	0
259447	1932	449	205	0
259448	1975	448	208	0
259449	2019	449	209	0
259450	2061	448	212	0
259451	2105	448	213	0
259452	2150	447	217	0
259453	2196	447	218	0
259454	2238	445	221	0
259455	2282	444	224	0
259456	2324	441	227	0
259457	2366	441	228	0
259458	2410	439	231	0
259459	2460	438	232	0
259460	2504	438	234	0
259461	2548	438	235	0
259462	2589	438	237	0
259463	2638	439	237	0
259464	2679	440	240	0
259465	2724	441	241	0
259466	2767	442	242	0
259467	2807	443	243	0
259468	2856	444	245	0
259469	2899	444	246	0
259470	2943	444	247	0
259471	2984	445	249	0
259472	3031	445	250	0
259473	3072	446	252	0
259474	3134	446	256	0
259475	3174	446	257	0
259476	3233	445	260	0
259477	3274	445	261	0
259478	3318	445	262	0
259479	3360	444	264	0
259480	3404	443	265	0
259481	3449	443	266	0
259482	3491	441	270	0
259483	3537	441	271	0
259484	3582	441	273	0
259485	3632	440	276	0
259486	3674	439	277	0
259487	3720	439	280	0
259488	3763	438	282	0
259489	3805	438	283	0
259490	3848	438	287	0
259491	3889	438	289	0
259492	3936	438	291	0
259493	3977	438	295	0
259494	4019	438	297	0
259495	4060	438	299	0
259496	4103	438	301	0
259497	4144	438	304	0
259498	4185	438	306	0
259499	4237	438	308	0
259500	4282	438	309	0
259501	4324	438	313	0
259502	4367	438	316	0
259503	4409	437	320	0
259504	4458	437	322	0
259505	4505	437	325	0
259506	4547	436	328	0
259507	4590	436	329	0
259508	4631	435	331	0
259509	4675	435	332	0
259510	4715	435	335	0
259511	4766	435	339	0
259512	4806	435	340	0
259513	4852	435	341	0
