frame	time	x	y	burst
126944	54	268	97	0
126945	111	268	96	0
126946	183	268	95	0
126947	242	268	93	0
126948	319	268	92	0
126949	381	268	91	0
126950	448	268	89	0
126951	516	268	88	0
126952	584	268	86	0
126953	648	268	84	0
126954	709	268	83	0
126955	785	268	82	0
126956	849	268	80	0
126957	923	268	78	0
126958	989	268	77	0
126959	1055	268	74	0
126960	1125	268	73	0
126961	1190	267	71	0
126962	1252	267	70	0
126963	1321	267	67	0
126964	1385	267	66	0
126965	1448	266	64	0
126966	1511	266	63	0
126967	1573	266	62	0
126968	1648	265	62	0
126969	1712	265	61	0
126970	1775	265	61	0
126971	1848	265	61	0
126972	1922	265	62	0
126973	1985	265	62	0
126974	2050	265	62	0
126975	2123	265	61	0
126976	2192	266	61	0
126977	2252	266	61	0
126978	2315	266	61	0
126979	2377	266	61	0
126980	2455	266	61	0
126981	2528	267	59	0
126982	2585	267	59	0
126983	2660	268	57	0
126984	2717	269	56	0
126985	2780	269	55	0
126986	2853	270	54	0
126987	2919	271	53	0
126988	2982	271	53	0
126989	3047	272	52	0
126990	3111	272	52	0
126991	3187	272	52	0
126992	3248	272	51	0
126993	3319	272	51	0
126994	3387	272	51	0
126995	3446	272	51	0
126996	3511	272	51	0
126997	3573	272	51	0
126998	3637	273	51	0
126999	3705	273	52	0
127000	3768	273	52	0
127001	3835	271	54	0
127002	3897	271	55	0
127003	3968	271	56	0
127004	4036	272	57	0
127005	4099	272	57	0
127006	4163	273	58	0
127007	4230	274	58	0
127008	4296	274	58	0
127009	4355	274	58	0
127010	4420	275	59	0
127011	4489	275	61	0
127012	4564	276	63	0
127013	4627	277	65	0
127014	4690	277	67	0
127015	4763	278	69	0
127016	4820	278	70	0
127017	4886	280	73	0
127018	4952	280	74	0
127019	5026	282	77	0
127020	5096	282	78	0
127021	5155	284	80	0
127022	5221	286	82	0
127023	5284	287	84	0
127024	5354	287	85	0
127025	5420	288	87	0
127026	5494	290	90	0
127027	5565	290	90	0
127028	5621	290	92	0
127029	5688	290	94	0
127030	5761	290	94	0
127031	5825	291	98	0
127032	5896	291	99	0
127033	5954	291	101	0
127034	6032	292	102	0
127035	6094	292	104	0
127036	6162	292	107	0
127037	6245	293	108	0
127038	6304	293	110	0
127039	6379	294	111	0
127040	6452	295	114	0
127041	6521	295	117	0
127042	6582	295	119	0
127043	6646	295	120	0
127044	6708	296	122	0
127045	6772	296	123	0
127046	6851	296	125	0
127047	6920	297	127	0
127048	6995	297	131	0
127049	7063	297	132	0
127050	7132	297	134	0
127051	7194	297	136	0
127052	7265	297	136	0
127053	7321	297	140	0
127054	7387	297	141	0
127055	7452	296	143	0
127056	7527	296	144	0
127057	7586	295	145	0
127058	7650	295	146	0
127059	7716	295	147	0
127060	7782	294	149	0
127061	7847	294	151	0
127062	7909	294	152	0
127063	7974	293	153	0
127064	8038	293	155	0
127065	8105	292	158	0
127066	8176	292	159	0
127067	8247	292	162	0
127068	8317	292	163	0
127069	8378	292	164	0
127070	8454	292	166	0
127071	8529	292	169	0
127072	8592	292	171	0
127073	8655	292	172	0
127074	8727	292	174	0
127075	8787	292	175	0
127076	8851	292	177	0
127077	8916	292	179	0
127078	8980	292	181	0
127079	9041	292	182	0
127080	9104	292	184	0
127081	9192	292	186	0
127082	9252	292	187	0
127083	9316	292	190	0
